class;year;origin;choice
1;2015;1;1
1;2015;2;2
1;2015;1;2
1;2015;1;2
1;2015;3;1
1;2015;2;1
1;2015;3;1
1;2015;1;2
1;2015;3;1
1;2015;1;2
1;2016;2;2
1;2016;1;2
1;2016;1;1
1;2016;1;2
1;2016;3;1
1;2016;3;2
1;2016;4;1
1;2016;3;2
2;2015;2;5
2;2015;1;3
2;2015;1;3
2;2015;5;5
2;2015;1;5
2;2015;2;4
2;2015;3;3
2;2015;1;3
2;2015;3;3
2;2015;1;4
2;2015;1;3
2;2015;2;3
2;2015;3;3
2;2015;5;5
2;2016;1;3
2;2016;1;3
2;2016;3;5
2;2016;1;3
2;2016;3;5
2;2016;2;4
2;2016;1;4
2;2016;1;3
2;2016;2;5
2;2016;3;5
2;2016;3;3
2;2016;1;4
2;2016;1;3
2;2016;3;5
2;2016;6;5
2;2016;1;3
2;2016;4;3
2;2016;1;5
